,title,dates,place,description
0,🎥 Cortocircuiti Short Film Festival 2025,"20.07.2025 | 20:30 - 25.07.2025 | 23:00
",Expostmoderno,"
📣Eccoci, siamo pronti! E voi?
Cortocircuiti Short Film Festival 2025 sta arrivando.
Ci vediamo dal 20 luglio al 25 luglio.

20 luglio - Giardino Mimmo Bucci 
21 - 25 luglio - Arena Expostmoderno 

📽️Le categorie in concorso:

Corti a tematica ambientale
Documentari brevi (professionisti e studenti
Corti di animazione (professionisti e studenti
Corti per bambine/i 
Corti live action (professionisti e studenti + studenti pugliesi

🎬 Il festival è organizzato dall’associazione @lascatolablu, @armatabrancaleone #ondocks #gruppoLBM"
1,🎹 Seeds - Anteprima Secolare,"20.07.2025 | 19:30 - 23:59
",Alle S.E.R.R.E - Terlizzi,"
Secondo appuntamento estivo di SEEDS, con uno dei tesori dell'elettronica italiana, in una location inedita, a un costo simbolico.

SEEDS: the Spring Tales
Domenica 20 luglio 2025
Vivaio
Terlizzi, Terra di Bari

Ingresso: 5€. Posti limitati. Link su Instagram @secolarefestival

Live: Indiana Wells
Indian Wells è un producer e compositore italiano affermatosi nella scena elettronica europea grazie ad un sound deciso e ricco di colore: una techno raggiante ed emotiva che gli è valsa la pubblicazione del suo ultimo album via Mesh, l'etichetta di Max Cooper, producer tra i più importanti dell'elettronica contemporanea. Questo suo ultimo disco, dal provocatorio titolo No One Really Listens to Oscillators, la cui stesura è iniziata nel 2020, trova la sua ispirazione in luoghi ed eventi tra loro molto diversi, ma legati da un modo preciso di guardare le cose, da una attenzione ai... [continua a leggere](https://www.apuliacore.org/evento/efa5fefd-bd11-43b8-8e17-d34dd44a1584"
2,🎥 Programmazione Festa del Cinema in Libertà dal 14 al 17 luglio,"14.07.2025 | 20:30 - 17.07.2025 | 00:00
",Expostmoderno,"
🎬 Una nuova settimana di cinema ad expostModerno 🌿🎸🎭
Dal 14 al 17 luglio ci aspettano quattro serate molto diverse tra loro, ma unite da un filo comune: l’arte che crea connessioni, comunità, memoria e immaginazione.
Ecco il programma completo:

📅 14/07 – Biodiversità in Musica – Scopri, Gioca, Vinci
Una serata speciale tra cinema, quiz e natura!
🌱 Mini-rassegna di corti ispirati al DNA degli animali
🎥 Reportage dalla Foresta Amazzonica
🎯 Quiz interattivo a squadre sulla biodiversità (con premi sostenibili!
🎶 A cura di Associazione Culturale Clabs
🍛 Banchetto Ethnic Cook – Cibo etnico prenotabile al Link in calce

📅 15/07 – Queer as Punk di Chen Yihwen
Un documentario potente e liberatorio sulla scena punk queer malese.
⚡ Con Faris Saad, voce ribelle e transizione coraggiosa
🎸 A cura di Sherocco Festival
📚 Banchetto Spine Bookstore
🍛 Banchetto... [continua a leggere](https://www.apuliacore.org/evento/33bba043-0c37-42b5-b794-e28dd49a37ed"
3,🧶 🔄SWAP PARTY E APERITIVO🍸 a Zona Franka!,"16.07.2025 | 18:00 - 23:59
",Zona Franka 3.zero,"
https://www.instagram.com/p/DL9kRy0NNwt/?igsh=MWYzNjM4dDAzbDYxYw==

🔄SWAP PARTY E APERITIVO🍸 -  scambia i tuoi vestiti, dà loro una nuova oppurtunità!

💃🏻Armadio pieno e niente da mettere? I tuoi outfit hanno bisogno di un respiro nuovo? Hai tanti capi di cui disfarti ma buttarli ti sembra uno spreco?
 
🌱Raggiungici a Zona Franka per uno Swap party, un’occasione per incontrarsi e contaminare il proprio stile con quello dellə altrə, in modo sostenibile e a costo zero. Dalle 18 alle 20 puoi iniziare a lasciare i tuoi abiti, così da poter iniziare a scambiare fino a chiusura! Nel frattempo, ci accompagniamo con un aperitivo.

🗓️Ti aspettiamo il 16 luglio in Via Dalmazia 35, dalle 18 alle 22. Ricorda di portare con te i capi del tuo armadio di cui vuoi disfarti e i tuoi amici. 

💳Ingresso gratuito, riservato ai tesserati ARCI. È possibile ritirare la tessera in sede. La tessera ARCI... [continua a leggere](https://www.apuliacore.org/evento/a04bef51-11e4-497f-bfb1-b9925ff82e58"
4,📖 Sulla strada di casa - Jam letteraria,"04.07.2025 | 20:00 - 23:00
",Taverna del Maltese,
5,✊ Arte - Attivarsi per creare comunità,"05.07.2025 | 16:30 - 18:30
",Caffè Portineria Bari,"
✨ Quarto appuntamento live del progetto ""Radici - racconti di attivismo civico in Puglia"", in cui registreremo dal vivo gli episodi 7 e 8 del podcast.

🌀 Parleremo di arte, e lo faremo con:

🌱 @kocrii, attivista di @nonchiamatecimuse, un progetto che nasce dall'esigenza di creare una rete di sviluppo e visibilità per artiste emergenti baresi e pugliesi abbattendo barriere di genere e creando un ambiente inclusivo.

🌱 @llaurajaura, che ha dato vita a @cerchi.incontrarte per rispondere al bisogno di comunità, di connessione e di condivisione, creando spazi inclusivi dove l'arte diventa linguaggio d'incontro e incontra l'attivismo. Perché quando l'arte incontra la comunità, si fa arte libera e sociale.

🌈 Arte: attivarsi per creare comunità 
🗓️ Sabato 5 luglio, ore 16.30
 @caffeportineria, via Roberto da Bari 58a

💜 Ti aspettiamo!"
6,"✊ NON CHIAMATECI MUSE: essere soggetto, non ispirazione ","04.07.2025 | 18:30 - 20:30
",Quintavalle Interior Design,"
Talk, esposizioni artistiche,  live music e presentazione del progetto Non Chiamateci Muse"
7, UNDERDOGS - stand-up comedy show,"13.07.2025 | 21:00
",MAT laboratorio urbano,"
🎤 UNDERDOGS - Il Disagio è Servito 😈
•
Più cattivi dell’alito mattutino, più brutali di una canzone di Pupo 🎶, più matti di chi non paga il parcheggio in centro 🅿️🤯…
•
Gli UNDERDOGS arrivano nella tua città con uno spettacolo di stand-up che non fa prigionieri: 5 comici, 5 stili, una sola certezza – riderai fino a dubitare delle tue scelte di vita 🤡💥
•
Con:
🎤 Serena Bongiovanni
🎤 Tiziano La Bella
🎤 Xhuliano Dule
🎤 Antonio Ricatti
🎤 Angelo Amaro
•
🎟️ Ticket 👇
https://www.diyticket.it/events/Teatro/24469/underdogs-mat-terlizzi?fbclid=PAQ0xDSwK-Uf9leHRuA2FlbQIxMQABp3L37UUPMV91LRHGi9dzuflUHzcPWBlk-7gAVPbuafEkhhNtbeYwTkbFM5Qi_aem_zcEDoGXNqKQiXe78nDrD2A

•
🔥 Vieni a scoprire perché sono i peggiori… nel modo migliore possibile.
•"
8,"✊ Costruiamo insieme ""Radici""!","26.06.2025 | 18:30 - 20:00
","Parco 2 Giugno, Bari","
LABORATORIO PER ACTIVEYOUNG 🌷

Iniziamo con gioia al fianco dell’associazione @kreact.aps, super attiva nella promozione della cittadinanza attiva per la consapevolezza del valore dell’attivismo giovanile! 🌈

Parco 2 Giugno, Bari
🕒 26 giugno dalle ore 18:30

Kreact APS, giovane realtà associativa barese impegnata nella promozione della partecipazione civica e dello youth work, annuncia due appuntamenti speciali nell’ambito del progetto “Radici – Racconti di attivismo civico in Puglia”, selezionato e finanziato dal Corpo Europeo di Solidarietà.

💚 26 giugno, ore 18:30 – Parco 2 Giugno: laboratorio creativo per scrivere insieme le domande da rivolgere agli ospiti, con un focus sul ruolo dell’arte come strumento di attivismo.

Quindi…vuoi scoprire cosa si nasconde dietro una puntata di podcast? VIENI A SCOPRIRLO ✨

⚠️ PARTECIPA PER COMPLETARE LA TUA PRIMA MISSIONE E COLLEZIONARE IL BADGE PER... [continua a leggere](https://www.apuliacore.org/evento/88b38906-7e61-433f-985e-ffb682566f50"
9,🎹 Seeds - anteprima Secolare Festival,"28.06.2025 | 19:30 - 23:59
",Parco Santa Geffa - Trani ,"
Nuove sonorità e vecchie conoscenze nel primo appuntamento estivo di SEEDS, che delineerà l'avvicinamento al Secolare Festival in una serie di appuntamenti immersi nel verde.

* SEEDS: the Spring Tales *

Sabato 28 giugno 2025
Parco Santa Geffa 
Trani, Puglia Imperiale

Ingresso gratuito

Live:

Magpies:
La rock band pugliese capitanata da Pierpaolo Vitale nasce dieci anni fa sulle verdi e nordiche colline irlandesi, per poi radicarsi nel lungomare barese in cerca di un clima più temperato e nuove ispirazioni musicali. Tratti distintivi: delle grandi schitarrate!

Luca_tomasicchio:
Un viaggio intimo tra contrabbasso, voce ed elettronica, un dialogo tra suoni e silenzi, tra attesa e improvvisazione.

Live talk:
Easter Egg: se volete scoprirne di più, vi tocca arrivare per tempo.

Aftershow:
Groove a manetta e ancheggiamenti sexy con Disco Bizzarro

Expo e... [continua a leggere](https://www.apuliacore.org/evento/409f295f-e5d8-4b56-8471-d5a0dd036d8a"
