"evento","inizio","sede","indirizzo","comune"
"Il vino fa cantare","2019-09-05 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Finissage della mostra ""Omar Galliani. Leonardesca""","2019-09-09 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Alla scoperta dei tesori nascosti nell'ex convento di San Sebastiano","2019-09-21 00:00:00","Centro operativo per l'Archeologia","via Aspromonte - Gravina in Puglia","Gravina in Puglia"
"Alla scoperta dell’Archivio","2019-09-21 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Concerto dedicato al Maestro Morricone","2019-09-21 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Dialoghi con Leucò","2019-09-21 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Giovinazzo - Dolmen di San Silvestro","2019-09-21 00:00:00","Dolmen di San Silvestro","Strada Provinciale 107 - Giovinazzo","Giovinazzo"
"Il vino fa cantare","2019-09-21 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Immagini senza forma ","2019-09-21 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Incontri di Archeologia","2019-09-21 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"L’ultima scelta","2019-09-21 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Museo in Musica","2019-09-21 00:00:00","Museo Principe Guglielmo Romanazzi Carducci di Santo Mauro","Piazza Plebiscito - Putignano","Putignano"
"Time Zones - Ad Museum ","2019-09-21 00:00:00","Chiostro di Santa Chiara","Pier l'Eremita 25/B - Bari","Bari"
"Visite guidate all’esposizione ","2019-09-21 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Sempre caro mi fu quest'ermo  colle...","2019-09-22 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"Le mille e una notte - di e con Paolo Panaro","2019-09-28 00:00:00","Chiostro di Santa Chiara","Pier l'Eremita 25/B - Bari","Bari"
"Giornata del contemporaneo","2019-10-12 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"#F@mu - Giornata delle famiglie al museo","2019-10-13 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"DOMENICA DI CARTA","2019-10-13 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Domenica di Carta alla Biblioteca Nazionale di Bari","2019-10-13 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"Settimana della cultura italo-polacca -  Bari, 14-20 ottobre 2019","2019-10-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Cappuccetto d’osso al Castello","2019-10-31 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Il cinema russo attraverso i suoi manifesti. Anni ’20 – Anni ’80.","2019-11-15 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Corso di introduzione all’astronomia ""Dalla Terra all'Universo""","2019-11-16 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Bari tra le tavole di Frate Menotti","2019-11-25 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"""Conversazione su Leopardi"" e presentazione del libro ""Il celeste confine. Leopardi e il mito moderno dell'infinito""","2019-11-29 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Armi e guerrieri a Ruvo","2019-11-30 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Armi e guerrieri a Ruvo","2019-11-30 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Luoghi e Memorie 1943-1945","2019-12-02 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
