,name,description,url,start,end,organization_id,created,changed,published,capacity,capacity_is_custom,status,currency,listed,shareable,online_event,tx_time_limit,hide_start_date,hide_end_date,locale,is_locked,privacy_setting,is_series,is_series_parent,inventory_type,is_reserved_seating,show_pick_a_seat,show_seatmap_thumbnail,show_colors_in_seatmap_thumbnail,source,is_free,version,summary,facebook_event_id,logo_id,organizer_id,venue_id,category_id,subcategory_id,format_id,id,resource_uri,is_externally_ticketed,logo,vanity_url,series_id,status_code,error_description,error
0,"European Jazz Conference 2025 - Bari, Italy","Registrations for the 11th European Jazz Conference are open! The event takes place between 25 - 28 September 2025 in Bari, Puglia, Italy.",https://www.eventbrite.it/e/european-jazz-conference-2025-bari-italy-tickets-1325416760209,2025-09-25T15:30:00,2025-09-28T13:00:00,294463540368,2025-04-15T16:06:38Z,2025-07-11T09:10:42Z,2025-04-17T08:33:16Z,,,live,EUR,True,True,False,1800.0,True,True,en_GB,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,"Registrations for the 11th European Jazz Conference are open! The event takes place between 25 - 28 September 2025 in Bari, Puglia, Italy.",,1011058933,34329926009,265936783,103,3027,1,1325416760209,https://www.eventbriteapi.com/v3/events/1325416760209/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1011058933%2F146250475873%2F1%2Foriginal.20250417-075430?auto=format%2Ccompress&q=75&sharp=10&s=a0323204372bcd9734397539277251c3,,,,,
1,Gran Ballo alla Corte di Armonia,"Vieni a ballare con noi al Gran Ballo alla Corte di Armonia, un'esperienza magica di musica, danza e divertimento in un ambiente regale!",https://www.eventbrite.it/e/registrazione-gran-ballo-alla-corte-di-armonia-1358404798319,2025-09-19T19:00:00,2025-09-19T23:30:00,964558856153,2025-05-08T11:42:57Z,2025-07-06T17:51:23Z,2025-05-08T11:58:11Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,auto_create,False,,"Vieni a ballare con noi al Gran Ballo alla Corte di Armonia, un'esperienza magica di musica, danza e divertimento in un ambiente regale!",,1026196403,47094569393,269316983,105,5004,11,1358404798319,https://www.eventbriteapi.com/v3/events/1358404798319/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1026196403%2F964555311513%2F1%2Foriginal.20250508-114648?auto=format%2Ccompress&q=75&sharp=10&s=68070af754401f5104b50e13c0abd3bb,,,,,
2,HANDS 4 FUTURE - Oca Manina,"Divertiti con un gioco interattivo a squadre a tematica ambientale, potresti vincere un gustoso premio finale",https://www.eventbrite.it/e/hands-4-future-oca-manina-tickets-1469633706979,2025-07-25T19:00:00,2025-07-25T23:00:00,542841839527,2025-07-07T13:31:29Z,2025-07-16T13:26:10Z,2025-07-07T13:32:28Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,"Divertiti con un gioco interattivo a squadre a tematica ambientale, potresti vincere un gustoso premio finale",,1074186033,33695030635,277534513,111,11002,4,1469633706979,https://www.eventbriteapi.com/v3/events/1469633706979/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1074186033%2F542840941283%2F1%2Foriginal.20250715-190211?auto=format%2Ccompress&q=75&sharp=10&s=545b9556da49d26ddb4de17c4cc01225,https://HANDS4FUTURE.eventbrite.it,,,,
3,IEEE RAS Summer School Bari 2025,Get ready for an awesome summer school hosted by IEEE RAS in Bari 2025 - it's going to be a blast!,https://www.eventbrite.com/e/biglietti-ieee-ras-summer-school-bari-2025-1105276615109,2025-07-21T08:00:00,2025-07-25T18:00:00,2529717752761,2024-12-04T08:02:33Z,2024-12-04T08:19:57Z,2024-12-04T08:19:57Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,auto_create,False,,Get ready for an awesome summer school hosted by IEEE RAS in Bari 2025 - it's going to be a blast!,,911293583,104087923611,245153493,102,2007,2,1105276615109,https://www.eventbriteapi.com/v3/events/1105276615109/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F911293583%2F2529717752761%2F1%2Foriginal.png?auto=format%2Ccompress&q=75&sharp=10&s=b986ea4eda83360361f0764500da6bb7,,,,,
4,ENJOY BEACHVOLLEY WITH WAVEAPULIA,Hi! Want to enjoy a friendly beachvolley play? Come with us and just have funny together!,https://www.eventbrite.com/e/biglietti-enjoy-beachvolley-with-waveapulia-1413128016939,2025-07-23T19:00:00,2025-07-23T22:00:00,2804940681081,2025-06-14T16:27:15Z,2025-07-16T14:22:13Z,2025-07-14T17:24:09Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,Hi! Want to enjoy a friendly beachvolley play? Come with us and just have funny together!,,1073135363,112621644411,274671033,108,8011,10,1413128016939,https://www.eventbriteapi.com/v3/events/1413128016939/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1073135363%2F2159596912733%2F1%2Foriginal.20250714-163900?auto=format%2Ccompress&q=75&sharp=10&s=f8759209f0d9e94c6f7a19f0a213fadd,,,,,
5,Potere Svelato:Colpo al manipolatore. Disinnesca i meccanismi di attrazione,"Durante l’evento, verranno svelati due personaggi chiave che influenzano le tue decisioni e bloccano la tua libertà e i tuoi sogni.",https://www.eventbrite.it/e/biglietti-potere-svelatocolpo-al-manipolatore-disinnesca-i-meccanismi-di-attrazione-1394952583729,2025-09-06T10:00:00,2025-09-07T17:30:00,168778931844,2025-06-03T15:59:14Z,2025-07-15T16:00:02Z,2025-07-01T15:24:43Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,"Durante l’evento, verranno svelati due personaggi chiave che influenzano le tue decisioni e bloccano la tua libertà e i tuoi sogni.",,1074019133,45400120703,273097413,107,7002,2,1394952583729,https://www.eventbriteapi.com/v3/events/1394952583729/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1074019133%2F168778931844%2F1%2Foriginal.20250715-155954?auto=format%2Ccompress&q=75&sharp=10&s=ad730381c166bce4fdaebad5c2b2af77,,,,,
6,VI INTERNATIONAL SYMPOSIUM ON POMEGRANATE and Minor Mediterranean Fruits,"Join us for the 6th International Symposium on Pomegranate and other Mediterranean fruits on September 22-24, 2025!",https://www.eventbrite.it/e/biglietti-vi-international-symposium-on-pomegranate-and-minor-mediterranean-fruits-1223624396509,2025-09-22T09:00:00,2025-09-22T18:00:00,2595343147231,2025-01-27T15:01:41Z,2025-01-27T16:15:17Z,2025-01-27T16:15:17Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,auto_create,False,,"Join us for the 6th International Symposium on Pomegranate and other Mediterranean fruits on September 22-24, 2025!",,945555213,106485751731,252473513,102,2002,1,1223624396509,https://www.eventbriteapi.com/v3/events/1223624396509/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F945555213%2F540641983579%2F1%2Foriginal.20250127-150634?auto=format%2Ccompress&q=75&sharp=10&s=c4260440f1959e7864e05dc0e9805beb,,,,,
7,BIG | Business Intelligence Game,Esperienza ad alto impatto per potenziare le competenze in BI e pianificazione finanziaria. Per manager e professionisti.,https://www.eventbrite.it/e/big-business-intelligence-game-tickets-1416992816659,2025-09-26T09:00:00,2025-09-26T15:30:00,2175235673083,2025-06-17T14:18:31Z,2025-07-08T14:12:30Z,2025-07-04T15:14:41Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,Esperienza ad alto impatto per potenziare le competenze in BI e pianificazione finanziaria. Per manager e professionisti.,,1066728623,85881258883,275196813,101,1002,9,1416992816659,https://www.eventbriteapi.com/v3/events/1416992816659/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1066728623%2F2175235542173%2F1%2Foriginal.20250704-142904?auto=format%2Ccompress&q=75&sharp=10&s=27bed500b3de2d17442419b50e1135c1,,,,,
8,Mind ReMapping - Cognitive Global Reset & Opening the Philosopher's Stone,...be so creatively removed from reality that the elusive Mind as no choice but to come out of hiding....,https://www.eventbrite.co.uk/e/mind-remapping-cognitive-global-reset-opening-the-philosophers-stone-tickets-1444342229489,2025-07-17T19:00:00,2025-07-17T22:00:00,227342121523,2025-06-29T06:11:41Z,2025-07-13T14:24:08Z,2024-11-13T16:43:08Z,,,live,GBP,True,True,False,1200.0,False,False,en_GB,False,unlocked,True,False,limited,False,False,False,False,coyote,False,,...be so creatively removed from reality that the elusive Mind as no choice but to come out of hiding....,,1067386793,42742154273,242367683,107,7002,2,1444342229489,https://www.eventbriteapi.com/v3/events/1444342229489/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1067386793%2F227342121523%2F1%2Foriginal.20250706-095932?auto=format%2Ccompress&q=75&sharp=10&s=4adf70ddeeaaa9d95706587f56a3a0a0,,1082327674209,,,
9,Discover Bari’s hidden treasures with our fun-filled scavenger hunt!,Explore Bari with a fun scavenger hunt! Solve puzzles as you uncover the city’s iconic sights and hidden gems.,https://www.eventbrite.sg/e/discover-baris-hidden-treasures-with-our-fun-filled-scavenger-hunt-tickets-1354665975399,2025-07-17T07:00:00,2025-07-17T10:00:00,2256710754123,2025-05-06T08:47:08Z,2025-05-06T08:47:08Z,2024-10-27T13:42:51Z,,,live,USD,True,True,False,1200.0,False,False,en_US,False,unlocked,True,False,limited,False,False,False,False,api,False,,Explore Bari with a fun scavenger hunt! Solve puzzles as you uncover the city’s iconic sights and hidden gems.,,884254783,89370453463,239773883,109,9006,16,1354665975399,https://www.eventbriteapi.com/v3/events/1354665975399/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F884254783%2F2357713297203%2F1%2Foriginal.20241027-134028?auto=format%2Ccompress&q=75&sharp=10&s=6244d126f82b66ca57b950609dc95061,,1061360891999,,,
