,Data Inizio,Data Fine,Titolo,Descrizione,Luogo,URL
0,2025-07-16 00:00:00+02:00,2025-07-16 00:00:00+02:00,Irama,"Bari (Bari)\nFiera del Levante\nLungomare Starita, 4\nore  21:30\ningresso a pagamento\n49 euro\n Info. 080 5366320","Fiera del Levante FIERA DEL LEVANTE, Bari",https://iltaccodibacco.it/puglia/eventi/292164.html
1,2025-07-16 21:00:15+02:00,2025-07-16 00:00:00+02:00,La Puglia Che Ride: Ale & Franz il 16 Luglio a Capurso,Capurso (Bari)\nSagrato Reale Basilica Madonna del Pozzo\nvia Madonna del Pozzo 1 \nore 21:15\ningresso a pagamento\n Info. +39 3290448617,"Sagrato Reale Basilica Madonna del Pozzo sagrato Basilica della Madonna del Pozzo, Capurso",https://iltaccodibacco.it/puglia/eventi/296791.html
2,2025-07-16 20:00:30+02:00,2025-07-16 00:00:00+02:00,Proiezione Lo Sceicco Bianco di Federico Fellini,"Bari (Bari)\nex Cinema Arena Moderno\nvia Napoli, 264\nore 20:30\ningresso con quota di complicita&apos; suggerita\n Info. 3493931072","ex Cinema Arena Moderno , Bari",https://iltaccodibacco.it/puglia/eventi/299276.html
3,2025-07-16 21:00:00+02:00,2025-07-16 00:00:00+02:00,"""La cantautrice fantasma"" di Ivan Talarico - Bari Leggera",Bari (Bari)\nOfficina degli Esordi\nore 21:00\ningresso libero\n Info.  351/8528404," Officina degli Esordi, Bari",https://iltaccodibacco.it/puglia/eventi/298664.html
4,2025-07-16 20:00:30+02:00,2025-07-16 00:00:00+02:00,"Concerto del Neapolis Trio, un viaggio nella canzone napoletana - Confini Labili",Bari (Bari)\nChiostro dell’ex Convento Santa Chiara\nore 20:30\ningresso libero\n Info. www.leduebari.it," Chiostro dell’ex Convento Santa Chiara, Bari",https://iltaccodibacco.it/puglia/eventi/298791.html
5,2025-07-16 21:00:00+02:00,2025-07-16 00:00:00+02:00,Accademia Unika: MANNAGGIA - Luna Barese,"Bari (Bari)\nTeatro Abeliano\nore 21:00\ningresso libero\n Info. <a href=""https://www.facebook.com/teatroabeliano"" target=""_blank"">www.facebook.com</a>"," Teatro Abeliano, Bari",https://iltaccodibacco.it/puglia/eventi/298873.html
6,2025-07-16 21:00:00+02:00,2025-07-16 00:00:00+02:00,Gianni Rosini Live,"Bari (Bari)\nAnfiteatro della Pace\nVia Natale Loiacono, 20\nore 21:00\ningresso libero\n Info. 3296499552","Anfiteatro della Pace , Bari",https://iltaccodibacco.it/puglia/eventi/299000.html
7,2025-07-16 19:00:00+02:00,2025-07-16 00:00:00+02:00,La Ghironda 2025 x Le Due Bari | Alex Piras,Bari (Bari)\nGiardino Mimmo Bucci\nore 19:00\ningresso libero\net&agrave; consigliata per i bambini: dai 4 anni in su\n Info. 0804301150," Giardino Mimmo Bucci, Bari",https://iltaccodibacco.it/puglia/eventi/299298.html
8,2025-07-16 00:00:00+02:00,2025-07-16 00:00:00+02:00,Lo Sviluppo Economico Delle Prossime Generazioni,Bari (Bari)\nVia Amendola 162/1\n20:00 - 21.30\ningresso libero\n Info.  0805212483 -  3756310548," Via Amendola 162/1, Bari",https://iltaccodibacco.it/puglia/eventi/299341.html
9,2025-07-16 21:00:00+02:00,2025-07-16 00:00:00+02:00,Tra le mie onde,Bari (Bari)\nVia Ignazio Loiacono\nore 21:00\ningresso libero\n Info. 3278420802-3391420639  ," Via Ignazio Loiacono, Bari",https://iltaccodibacco.it/puglia/eventi/299411.html
